,Down-welling long wave radiation,Up-welling long wave radiation,Down-welling short wave radiation,Up-welling short wave radiation,Latent heat flux,Sensible heat flux,Soil heat flux,Ecosystem respiration ,Gross Primary Productivity,Net Ecosystem Exchange,Net Ecosystem Productivity,"Rainfall, 30 minute total",Relative humidity,Absolute humidity,Soil water fraction,Air temperature,Soil temperature,Vapour pressure deficit,Wind direction,Wind speed
,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,W/m2,umol/m2/s,umol/m2/s,umol/m2/s,umol/m2/s,mm,%,g/m3,frac,C,C,kPa,deg,m/s
xlDateTime,Fld,Flu,Fsd,Fsu,Fe,Fh,Fg,ER,GPP,NEE,NEP,Precip,RH,Ah,Sws,Ta,Ts,VPD,Wd,Ws
28/07/2019 0:00,299.2336,355.1789,-4.098888,0.5427853,-1.6012,-2.8653,-5.0810802,0.7029,0,0.7029,-0.7029,0,85.93266506,8.122084,0.0927412,10.0921,12.82865,0.173753701,47.09866426,0.972989497
28/07/2019 0:30,298.57,353.4676,-3.049448,1.35079,-3.5748,1.3385,-7.907149851,0.7027,0,0.7027,-0.7027,0,89.15781116,8.40207,0.09265092,10.04556,12.81767,0.133501313,62.08120068,0.798901118
28/07/2019 1:00,299.4348,354.0338,-2.993146,1.674365,-4.4851,1.8639,-10.59231758,0.8154,0,0.8154,-0.8154,0,86.77630984,8.408419,0.092547715,10.48494,12.78365,0.167679818,42.09808801,0.704142979
28/07/2019 1:30,297.406,350.7098,-3.997542,0.7014762,-7.4473,6.6133,-11.33813667,0.7042,0,0.7042,-0.7042,0,89.08405532,8.254539,0.092496105,9.779723,12.74681,0.132034668,94.57587489,0.449240597
28/07/2019 2:00,296.6166,349.5023,-3.226538,1.357855,-7.0378,5.6179,-11.64281967,0.6975,0,0.6975,-0.6975,0,91.33234629,8.372403,0.09243153,9.610853,12.7116,0.103657702,112.3181572,0.533179691
28/07/2019 2:30,292.1045,347.7454,-4.575966,0.7279521,-2.5053,-5.5525,-13.83115982,1.058,0,1.058,-1.058,0,88.74744872,7.854448,0.092379875,9.060179,12.65771,0.129669758,248.6820192,1.082026047
28/07/2019 3:00,290.0246,343.173,-4.274902,0.7005567,-3.2255,-3.8632,-11.5322577,0.7869,0,0.7869,-0.7869,0,90.06603727,7.457607,0.09228961,8.023825,12.63363,0.106706552,172.2489383,0.98688628
28/07/2019 3:30,293.4356,340.7697,-3.804219,0.988207,-10.8964,11.301,-13.31276148,-0.2564,0,-0.2564,0.2564,0,92.86802314,7.359346,0.09216057,7.345546,12.59528,0.073141548,47.46490495,0.159629103
28/07/2019 4:00,302.1378,339.2667,-2.997826,0.8462848,-4.7578,4.0175,-14.97977991,-0.4507,0,-0.4507,0.4507,0,93.92901829,7.255819,0.092147715,6.952908,12.54436,0.060606392,286.0547711,0.570252284
28/07/2019 4:30,306.5961,337.3091,-2.956444,0.2874763,-0.0331,-2.8534,-15.69725778,-1.2104,0,-1.2104,1.2104,0,94.81627459,6.83625,0.09208309,5.8986,12.48966,0.048118504,331.0851023,0.942395082
28/07/2019 5:00,310.2775,337.0994,-2.441438,1.133385,-4.2859,4.6174,-16.64980107,-1.0604,0,-1.0604,1.0604,0,95.57442885,7.002312,0.092044475,6.142922,12.42674,0.04178152,347.8056609,0.505895757
28/07/2019 5:30,313.0891,336.9644,-2.947571,0.9219733,0.026,-2.7651,-13.87751717,-0.9401,0,-0.9401,0.9401,0,95.80074594,7.111533,0.09200572,6.343065,12.39536,0.040196918,26.71879742,0.904831316
28/07/2019 6:00,309.8699,334.1324,-3.48959,0.5938447,-3.3151,2.0697,-13.24542289,0.6673,0,0.6673,-0.6673,0,95.9773631,6.642252,0.09192828,5.276866,12.37415,0.03576216,47.21779364,0.614291629
28/07/2019 6:30,308.3011,331.3086,-2.714432,1.370908,-7.7285,9.9944,-13.3326312,0.6122,0,0.6122,-0.6122,0,96.16242956,6.571675,0.091851005,5.086135,12.35595,0.03366633,232.8178912,0.168394516
28/07/2019 7:00,308.5565,329.5344,0.02482315,0.7924646,-2.1052,2.278,-13.88118951,0.3917,0,0.3917,-0.3917,0,96.19731858,6.225204,0.091773615,4.26488,12.33635,0.031496736,325.4998501,0.62394603
28/07/2019 7:30,305.9296,327.9111,34.68052,8.430923,7.4974,1.6309,-18.2461294,0.5851,2.1792,-1.5941,1.5941,0,96.27069565,5.893645,0.091722035,3.434901,12.27396,0.029134086,141.9658353,1.030855215
28/07/2019 8:00,303.8579,329.7939,94.24305,15.38271,8.9182,28.9228,-22.29928112,0.5426,3.3716,-2.829,2.829,0,96.31619593,5.861509,0.091709045,3.346408,12.17031,0.028599034,348.9076056,0.131834557
28/07/2019 8:30,310.347,335.9355,141.6256,17.38992,19.7554,34.3883,-28.02930847,0.6089,4.5936,-3.9847,3.9847,0,96.36345323,6.216365,0.09176058,4.217664,12.00294,0.030020947,358.1427207,0.295744022
28/07/2019 9:00,299.1443,342.8166,229.9928,26.91609,33.3316,50.4883,-24.62042361,0.318,6.1878,-5.8698,5.8698,0,96.38850287,6.808556,0.091863545,5.586938,11.86171,0.032807022,66.63151347,0.350266858
28/07/2019 9:30,287.435,354.8976,377.3745,37.65599,58.8524,81.8908,-14.60745508,1.4006,10.1072,-8.7066,8.7066,0,96.18210019,7.66466,0.091992565,7.431626,11.81339,0.039385615,135.6325582,0.270873093
28/07/2019 10:00,296.8599,369.7436,457.0462,45.78891,72.8047,115.003,-22.590471,-0.0952,10.3101,-10.4053,10.4053,0,93.06389013,8.283422,0.092173155,9.149063,11.6629,0.080409844,171.8480692,0.204854422
28/07/2019 10:30,304.5309,380.705,514.2065,50.92213,90.079,108.5726,-2.792896816,2.2096,13.2826,-11.073,11.073,0,73.74497633,7.78468,0.09239242,11.84728,11.70502,0.364432153,344.7652932,0.435011251
28/07/2019 11:00,311.8951,391.9355,566.1064,54.53921,99.804,180.7033,-10.41925326,1.8604,21.45532667,-19.59492667,19.59492667,0,66.64290113,7.857825,0.09253464,13.62988,11.64068,0.520404019,109.5393015,0.214230243
28/07/2019 11:30,318.4138,400.8074,598.3931,56.76324,111.6458,196.7152,9.495996976,1.6261,18.03339984,-16.40729984,16.40729984,0,58.00752018,7.699538,0.092960845,15.56775,11.74663,0.742472901,21.45095336,0.454656545
28/07/2019 12:00,322.1045,405.5784,616.9139,61.76046,119.6983,206.5107,22.36489958,1.7521,12.79094446,-11.03884446,11.03884446,0,52.57884498,7.242506,0.09369599,16.18064,11.93535,0.87196612,58.13337947,0.654224424
28/07/2019 12:30,325.3984,409.2076,615.4637,58.60697,128.6424,193.7686,44.35695282,0.1521,5.811330182,-5.659230182,5.659230182,0,49.42137849,7.02645,0.093979385,16.70633,12.34856,0.961670107,114.9760856,0.84786386
28/07/2019 13:00,328.049,414.3648,604.9552,57.34126,132.9226,190.0501,63.5336885,3.1475,9.415359561,-6.267859561,6.267859561,0,44.18801665,6.660893,0.09414709,17.68411,12.96569,1.128901314,151.3760346,0.823109329
28/07/2019 13:30,328.7762,416.7028,575.0037,54.40196,132.8255,181.6134,64.69661223,2.1145,16.90427457,-14.78977457,14.78977457,0,39.52004125,6.165401,0.09418573,18.26178,13.59232,1.268579715,136.3798858,0.622478806
28/07/2019 14:00,329.7843,419.0645,533.3674,50.12973,135.6196,167.6615,38.23172041,2.5904,6.431983168,-3.841583168,3.841583168,0,35.12879852,5.688229,0.094056935,18.89107,13.9335,1.415353366,128.6726588,1.305672599
28/07/2019 14:30,327.7101,417.3336,474.0388,46.13627,119.6559,141.9725,10.06902091,2.6095,8.17304346,-5.56354346,5.56354346,0,34.02387032,5.568409,0.09399256,19.07199,13.972,1.455802212,116.4624094,1.036637047
28/07/2019 15:00,327.9865,417.4176,400.1934,39.93769,103.4338,110.0552,7.356943069,2.6846,7.352447003,-4.667847003,4.667847003,0,33.43320432,5.609819,0.094005715,19.49562,13.9836,1.508084792,110.1869147,1.039200062
28/07/2019 15:30,325.157,414.1675,319.2018,33.63736,84.1583,75.7164,-12.605841,2.7455,6.613179472,-3.867679472,3.867679472,0,33.36954776,5.577409,0.093954145,19.42943,13.77922,1.503328726,113.930602,1.099042321
28/07/2019 16:00,324.783,411.119,202.2191,21.91091,59.6228,27.0335,-24.64740786,3.0462,5.859311024,-2.813111024,2.813111024,0,33.23091252,5.527976,0.09385103,19.3488,13.44957,1.498920657,144.7803532,1.420241707
28/07/2019 16:30,322.5164,402.9295,110.7429,13.55096,35.0769,1.5929,-17.78790747,2.581,2.740028818,-0.159028818,0.159028818,0,34.90557515,5.607045,0.093760775,18.75558,13.19998,1.408252944,150.2407767,1.113000519
28/07/2019 17:00,318.1393,396.6707,56.78194,9.768553,23.2135,-10.9808,4.826622695,2.5231,0.282168732,2.240931268,-2.240931268,0,35.61992516,5.600324,0.09361881,18.39291,13.20515,1.36153668,141.0295815,1.131607833
28/07/2019 17:30,312.5076,387.8993,-0.1888911,0.6130901,17.1833,-32.0077,5.883570223,3.2088,0,3.2088,-3.2088,0,38.1616737,5.632349,0.093451205,17.33047,13.23771,1.223184706,155.4579953,1.716625603
28/07/2019 18:00,307.9756,381.5513,-5.260124,0.6136716,13.8682,-28.3742,1.204332714,2.343842624,0,2.343842624,-2.343842624,0,50.28529929,6.795544,0.093309125,15.86445,13.23891,0.895865494,135.3177915,1.831539242
28/07/2019 18:30,305.8133,375.5696,-5.407783,0.9766642,3.6371,-13.1047,-10.14030732,2.3165,0,2.3165,-2.3165,0,55.1256809,7.0851,0.09311562,15.03764,13.13625,0.766867749,172.766555,1.007621284
28/07/2019 19:00,303.8889,370.6396,-4.786281,0.9445183,3.6793,-13.9574,-10.53300437,2.0139,0,2.0139,-2.0139,0,57.25951268,7.012516,0.09299941,14.24739,13.04517,0.694070747,263.9489376,1.096513668
28/07/2019 19:30,302.8385,366.3637,-4.506335,0.6770807,5.3404,-16.6558,-8.783792642,1.699,0,1.699,-1.699,0,60.73144875,7.015431,0.09285748,13.29736,12.98625,0.599495121,262.1086873,1.334644323
28/07/2019 20:00,300.975,363.5632,-4.64757,0.2274352,5.8907,-23.5249,-10.48216639,0.1034,0,0.1034,-0.1034,0,64.41164885,7.000617,0.09271566,12.31464,12.92043,0.509433292,271.6308047,1.525694856
28/07/2019 20:30,297.3402,360.2389,-4.037142,0.585512,7.0448,-23.3684,-10.1375337,1.724850043,0,1.724850043,-1.724850043,0,69.52639395,7.049619,0.092651115,11.20467,12.86802,0.405373532,274.2171396,1.808730848
28/07/2019 21:00,296.1765,359.3827,-3.941008,0.7629027,5.1255,-22.2759,-13.14712708,1.780948056,0,1.780948056,-1.780948056,0,69.97685597,7.027084,0.09253503,11.05106,12.79109,0.395328219,272.1716541,1.721103501
28/07/2019 21:30,295.3595,358.0625,-3.931135,0.730772,4.2369,-21.9696,-11.68588571,1.421598251,0,1.421598251,-1.421598251,0,70.90277028,7.005075,0.092457535,10.79259,12.73645,0.376605797,280.8010104,1.697018725
28/07/2019 22:00,294.1638,356.8614,-3.871318,0.8000607,3.3671,-21.6397,-11.29999254,1.998,0,1.998,-1.998,0,71.38829518,6.973559,0.09241878,10.613,12.69133,0.365916679,273.9901129,1.669776688
28/07/2019 22:30,292.8682,355.2942,-3.938335,0.7706542,2.5942,-21.0477,-10.65690551,3.6624,0,3.6624,-3.6624,0,71.70332694,6.90627,0.09234139,10.38996,12.65758,0.356540715,274.6322556,1.634755812
28/07/2019 23:00,291.6545,353.8593,-4.064423,0.7736772,-0.0545,-17.0402,-10.37525678,3.642,0,3.642,-3.642,0,71.30602813,6.800946,0.09228987,10.23499,12.63105,0.357821,273.693369,1.394494078
28/07/2019 23:30,289.6599,348.8919,-4.252793,1.048755,-6.6409,-4.7363,-11.08526677,1.0381,0,1.0381,-1.0381,0,75.66795986,6.778355,0.09214784,9.249364,12.60112,0.283994388,23.20562031,0.782838198
